	doi	registration_agency
1346	10.1175/JPO-D-16-0222.1	Crossref
1347	10.5194/tc-9-2163-2015	Crossref
1348	10.1017/aog.2016.2	Crossref
1349	10.1175/JCLI-D-16-0167.1	Crossref
1350	10.1002/hyp.9642	Crossref
1351	10.1038/srep16820	Crossref
1352	10.1088/1748-9326/11/8/084002	Crossref
1353	10.1126/sciadv.1601545	Crossref
1354	10.1111/tgis.12295	Crossref
1355	10.1134/S0032945211100043	Crossref
1356	10.1007/s00382-016-2985-y	Crossref
1357	10.1175/JPO-D-13-071.1	Crossref
1358	10.1111/gcb.13225	Crossref
1359	10.1073/pnas.1119787109	Crossref
1360	10.3354/meps12256	Crossref
1361	10.1038/s41598-018-37719-9	Crossref
1362	10.3354/meps12192	Crossref
1363	10.1002/2016GL070500	Crossref
1364	10.1002/2016GL068972	Crossref
1365	10.5751/ES-10596-230442	Crossref
1366	10.1002/2017GL073087	Crossref
1367	10.1038/srep28785	Crossref
1368	10.1016/j.puhe.2016.06.003	Crossref
1369	10.1016/j.socscimed.2016.09.026	Crossref
1370	10.1111/aec.12237	Crossref
1371	10.1371/journal.pone.0168391	Crossref
1372	10.1007/s00382-016-3329-7	Crossref
1373	10.1007/s10584-013-0735-2	Crossref
1374	10.1111/conl.12342	Crossref
1375	10.1002/2014JD022830	Crossref
1376	10.1038/s41467-018-02992-9	Crossref
1377	10.1002/2015gl065320	Crossref
1378	10.1088/1748-9326/7/1/014007	Crossref
1379	10.3189/2015AoG70A967	Crossref
1381	10.1175/JCLI-D-16-0408.1	Crossref
1382	10.1002/2017JC012768	Crossref
1383	10.1073/pnas.1618567114	Crossref
1384	10.1002/hyp.10206	Crossref
1385	10.1175/JCLI-D-14-00481.1	Crossref
1386	10.1111/j.1467-2979.2011.00410.x	Crossref
1387	10.1016/j.jmarsys.2016.05.003	Crossref
1388	10.1111/gcb.12623	Crossref
1389	10.1126/science.aae0017	Crossref
1390	10.1017/S0954102014000200	Crossref
1391	10.1139/as-2016-0042	Crossref
1392	10.1016/j.rse.2016.01.004	Crossref
1393	10.1007/978-94-024-1101-0	Crossref
1394	10.5194/tc-13-97-2019	Crossref
1395	10.1002/qj.2297	Crossref
1396	10.1017/jog.2016.117	Crossref
1397	10.1073/pnas.1801769115	Crossref
1398	10.1093/jcbiol/ruy072	Crossref
1399	10.1007/s10584-013-0852-y	Crossref
1400	10.1007/s13280-017-0960-4	Crossref
1401	10.1038/nclimate3403	Crossref
1402	10.1038/s41558-018-0084-2	Crossref
1403	10.1002/2016GL071228	Crossref
1404	10.1007/s10980-011-9623-1	Crossref
1406	10.1007/978-3-319-46150-2_21	Crossref
1407	10.1007/s10584-013-0875-4	Crossref
1408	10.1016/j.socscimed.2012.03.043	Crossref
1409	10.1007/s10113-014-0630-z	Crossref
1410	10.1139/er-2017-0080	Crossref
1411	10.1016/j.marpol.2010.10.019	Crossref
1412	10.1016/j.socscimed.2015.04.017	Crossref
1413	10.1007/s00300-015-1874-x	Crossref
1414	10.1038/s41598-018-22801-z	Crossref
1415	10.1016/j.envsci.2015.07.001	Crossref
1416	10.1007/s00382-017-4015-0	Crossref
1417	10.1016/j.ocecoaman.2013.12.005	Crossref
1418	10.14430/arctic4698	Crossref
1419	10.3402/polar.v35.24980	Crossref
1420	10.1007/s10584-008-9473-2	Crossref
1421	10.1038/nclimate2132	Crossref
1423	10.1016/j.dsr2.2016.03.002	Crossref
1424	10.5194/bg-11-2635-2014	Crossref
1425	10.1038/nature17145	Crossref
1426	10.1016/j.polar.2015.03.002	Crossref
1427	10.1038/nature12567	Crossref
1428	10.5194/bg-15-209-2018	Crossref
1429	10.1029/2012GL053387	Crossref
1430	10.5194/hess-20-4801-2016	Crossref
1431	10.1175/JCLI-D-16-0396.1	Crossref
1432	10.1111/gcb.13715	Crossref
1433	10.1002/ece3.1357	Crossref
1434	10.1002/2016EF000410	Crossref
1435	10.1038/nature21068	Crossref
1436	10.1002/2017GL076229	Crossref
1437	10.1002/hyp.8068	Crossref
1438	10.4027/fbgics.2015.08	Crossref
1439	10.1038/nclimate3241	Crossref
1440	10.1038/s41561-018-0256-8	Crossref
1441	10.1038/nature13260	Crossref
1442	10.1002/2015JC011124	Crossref
1443	10.1016/j.pocean.2015.05.010	Crossref
1444	10.33137/cjal-rcbu.v5.32938	Crossref
1445	10.1080/02723646.2017.1400339	Crossref
1446	10.1038/nature03908	Crossref
1447	10.1016/j.scitotenv.2010.04.059	Crossref
1448	10.1002/2016GL070319	Crossref
1450	10.3354/meps09372	Crossref
1451	10.1353/cpr.2014.0007	Crossref
1452	10.1126/sciadv.aao7212	Crossref
1453	10.1002/2017JF004409	Crossref
1454	10.1016/j.ocemod.2018.01.005	Crossref
1455	10.1175/JCLI-D-12-00504.1	Crossref
1456	10.1080/1088937X.2018.1455756	Crossref
1457	10.1007/s10584-016-1687-0	Crossref
1458	10.1029/2011GL048668	Crossref
1460	10.3390/w9010025	Crossref
1461	10.1007/s10393-015-1036-1	Crossref
1462	10.1111/ddi.12593	Crossref
1463	10.3389/fevo.2014.00068	Crossref
1464	10.1371/journal.pone.0164025	Crossref
1466	10.1038/ngeo2633	Crossref
1467	10.3390/ijerph110201536	Crossref
1468	10.1016/j.socscimed.2015.04.026	Crossref
1469	10.1111/gcb.13746	Crossref
1470	10.1126/science.1244341	Crossref
1471	10.1016/j.wace.2016.01.001	Crossref
1472	10.5194/tc-10-2721-2016	Crossref
1473	10.1038/s41586-019-0901-4	Crossref
1474	10.1038/srep30682	Crossref
1475	10.1080/1088937X.2013.873090	Crossref
1476	10.1007/s13280-017-0955-1	Crossref
1477	10.1080/1088937X.2012.724463	Crossref
1478	10.1002/qj.2382	Crossref
1479	10.1002/2013GL059010	Crossref
1480	10.5194/tc-7-1007-2013	Crossref
1481	10.1175/JCLI-D-17-0666.1	Crossref
1482	10.1002/2016GL070055	Crossref
1483	10.1002/2013JC009514	Crossref
1484	10.1016/j.apgeog.2013.08.004	Crossref
1485	10.1007/s00300-015-1709-9	Crossref
1486	10.1007/s00300-017-2172-6	Crossref
1487	10.1002/grl.51008	Crossref
1488	10.5194/essd-7-137-2015	Crossref
1489	10.1088/1748-9326/11/10/105003	Crossref
1490	10.1007/s00382-018-4354-5	Crossref
1491	10.14430/arctic4547	Crossref
1492	10.1016/j.dsr2.2013.03.010	Crossref
1493	10.18352/ijc.698	Crossref
1494	10.1126/sciadv.1601365	Crossref
1495	10.1038/nclimate2094	Crossref
1496	10.1038/srep32396	Crossref
1497	10.5194/bg-15-3841-2018	Crossref
1498	10.1111/gcb.13890	Crossref
1499	10.5194/bg-12-3525-2015	Crossref
1500	10.3389/fmars.2018.00075	Crossref
1501	10.5194/tc-11-1015-2017	Crossref
1502	10.5194/tc-7-241-2013	Crossref
1503	10.1016/j.rse.2017.10.042	Crossref
1504	10.1029/2018EF000820	Crossref
1505	10.1093/icesjms/fsu104	Crossref
1506	10.1016/j.cub.2013.05.051	Crossref
1507	10.1016/j.gloplacha.2011.06.005	Crossref
1508	10.5194/tc-8-673-2014	Crossref
1509	10.1038/ngeo1062	Crossref
1510	10.1029/2006JD008003	Crossref
1511	10.1111/j.1365-2486.2008.01660.x	Crossref
1512	10.1093/biosci/bix002	Crossref
1513	10.1002/2014JD022546	Crossref
1514	10.3354/meps11982	Crossref
1516	10.1175/JCLI-D-13-00657.1	Crossref
1517	10.5194/tc-10-2603-2016	Crossref
1518	10.5751/ES-05791-180436	Crossref
1519	10.1098/rsbl.2016.0466	Crossref
1520	10.1088/1748-9326/aaa359	Crossref
1521	10.1038/nature13542	Crossref
1522	10.2105/AJPH.2012.300752	Crossref
1523	10.1016/j.gloenvcha.2010.05.003	Crossref
1524	10.1007/s13280-012-0336-8	Crossref
1526	10.1038/s41558-019-0435-7	Crossref
1527	10.1007/s11027-013-9505-8	Crossref
1528	10.1088/1748-9326/9/10/104005	Crossref
1529	10.1038/nclimate2723	Crossref
1530	10.1111/j.1541-0064.2012.00418.x	Crossref
1531	10.2105/AJPH.2013.301724	Crossref
1532	10.1080/00045608.2013.776880	Crossref
1533	10.1186/s12864-016-2643-0	Crossref
1534	10.3389/fmicb.2016.01759	Crossref
1535	10.1038/ngeo2043	Crossref
1536	10.1126/science.aal1727	Crossref
1537	10.1038/nclimate2647	Crossref
1538	10.1073/pnas.1706080114	Crossref
1539	10.1029/2019JD030618	Crossref
1540	10.1175/BAMS-D-17-0006.1	Crossref
1541	10.1088/1748-9326/10/1/014005	Crossref
1542	10.1002/2016JC012478	Crossref
1543	10.1175/JCLI-D-10-05032.1	Crossref
1544	10.1111/ecog.02449	Crossref
1545	10.1038/s41558-018-0209-7	Crossref
1546	10.1002/2014GL062769	Crossref
1547	10.1007/s00227-017-3239-1	Crossref
1548	10.1071/WF14167	Crossref
1549	10.1017/S1464793104006542	Crossref
1550	10.1029/2006JG000369	Crossref
1551	10.5194/tc-7-303-2013	Crossref
1552	10.1126/science.1136897	Crossref
1553	10.1098/rsta.2014.0294	Crossref
1554	10.5194/tc-12-1347-2018	Crossref
1555	10.1175/JCLI-D-14-00117.1	Crossref
1556	10.1111/gcb.12406	Crossref
1557	10.5194/bg-13-115-2016	Crossref
1558	10.1016/j.cosust.2014.10.011	Crossref
1559	10.1038/nclimate2912	Crossref
1560	10.1038/srep02645	Crossref
1561	10.1029/2018RG000600	Crossref
1562	10.1002/2016GL071941	Crossref
1563	10.1002/2014GL062231	Crossref
1564	10.3763/cpol.2007.0721	Crossref
1565	10.1002/ece3.2173	Crossref
1566	10.1007/s00300-016-1924-z	Crossref
1567	10.1109/JSTARS.2013.2264391	Crossref
1568	10.14430/arctic4195	Crossref
1569	10.1038/s41558-017-0022-8	Crossref
1570	10.1088/1748-9326/8/3/035014	Crossref
1572	10.5194/tc-12-521-2018	Crossref
1573	10.1016/j.ejor.2016.07.023	Crossref
1574	10.1002/2013JF002838	Crossref
1575	10.3189/2013AoG63A601	Crossref
1576	10.3354/meps10945	Crossref
1577	10.1093/icesjms/fss040	Crossref
1578	10.1126/science.aaa9092	Crossref
1579	10.1002/hyp.9282	Crossref
1580	10.1579/0044-7447(2006)35[203:INTSAC]2.0.CO;2	Resource not found
1581	10.5194/tc-10-2173-2016	Crossref
1582	10.1007/s10584-016-1710-5	Crossref
1583	10.1146/annurev-marine-122414-033929	Crossref
1584	10.1029/2007GL032716	Crossref
1585	10.1016/j.dsr2.2012.03.007	Crossref
1586	10.1016/j.marchem.2015.06.002	Crossref
1587	10.1038/s41467-018-05457-1	Crossref
1588	10.1002/jgrg.20042	Crossref
1589	10.1002/2016GL072394	Crossref
1590	10.1111/j.1749-6632.2011.06412.x	Crossref
1591	10.1098/rsta.2013.0273	Crossref
1592	10.1029/2004GL020876	Crossref
1593	10.1175/JPO-D-14-0045.1	Crossref
1594	10.14430/arctic4365	Crossref
1595	10.1038/ncomms6107	Crossref
1596	10.3368/aa.54.2.40	Crossref
1597	10.1038/ncomms9798	Crossref
1598	10.1175/JCLI-D-15-0354.1	Crossref
1599	10.1038/s41467-018-04173-0	Crossref
1600	10.5194/tc-8-453-2014	Crossref
1601	10.1002/2017GL076641	Crossref
1602	10.1002/2017GL073395	Crossref
1603	10.1371/journal.pone.0077917	Crossref
1604	10.1002/2017JC013328	Crossref
1605	10.1029/2018GL078013	Crossref
1606	10.1177/0967010616665957	Crossref
1607	10.1146/annurev-marine-120710-100926	Crossref
1608	10.1016/j.pocean.2015.05.006	Crossref
1609	10.1007/978-3-319-30259-1_14	Crossref
1610	10.1126/sciadv.1701681	Crossref
1611	10.5194/bg-11-6791-2014	Crossref
1612	10.5194/bg-14-5551-2017	Crossref
1613	10.1002/fee.1798	Crossref
1614	10.1038/nclimate3377	Crossref
1615	10.1371/journal.pone.0066981	Crossref
1616	10.1371/journal.pone.0172989	Crossref
1617	10.1016/j.ecss.2015.10.020	Crossref
1618	10.1029/2010JG001507	Crossref
1619	10.1016/B978-0-12-374739-6.00216-5	Crossref
1620	10.5194/acp-14-9481-2014	Crossref
1621	10.1007/s00382-015-2638-6	Crossref
1623	10.1146/annurev-marine-121916-063407	Crossref
1625	10.1073/pnas.1503751112	Crossref
1626	10.1016/j.marpol.2016.11.032	Crossref
1627	10.7557/2.33.2.2540	Crossref
1628	10.1007/s00300-016-2029-4	Crossref
1629	10.1016/j.dsr2.2010.05.024	Crossref
1630	10.1111/gcb.12794	Crossref
1631	10.1016/j.margen.2017.09.006	Crossref
1632	10.1002/2017GL075434	Crossref
1633	10.1016/j.gloplacha.2014.11.013	Crossref
1634	10.1038/s41598-017-04573-0	Crossref
1635	10.1002/jgrc.20268	Crossref
1636	10.1073/pnas.1313775110	Crossref
1637	10.1002/grl.50240	Crossref
1638	10.1016/j.marpolbul.2017.09.027	Crossref
1639	10.1111/1365-2656.12685	Crossref
1640	10.1098/rsbl.2015.0803	Crossref
1641	10.1098/rsbl.2018.0834	Crossref
1642	10.1007/s11111-016-0259-6	Crossref
1643	10.5194/bg-2017-224	Crossref
1644	10.1139/cjfr-2018-0293	Crossref
1645	10.1002/joc.4673	Crossref
1646	10.1002/joc.4157	Crossref
1647	10.1002/joc.3743	Crossref
1648	10.7202/1021928ar	Crossref
1649	10.7202/1023786ar	Crossref
1650	10.7202/1030780ar	Crossref
1651	10.7202/1060828ar	Crossref
1652	10.1016/j.marpol.2016.05.013	Crossref
1653	10.14430/arctic4218	Crossref
1654	10.1007/s10393-012-0762-x	Crossref
1655	10.1007/s10393-011-0690-1	Crossref
1656	10.1016/j.jmarsys.2016.07.009	Crossref
1657	10.1002/2015GL063070	Crossref
1658	10.1016/j.fishres.2016.12.002	Crossref
1659	10.1038/nature19101	Crossref
1660	10.1002/2014GL061659	Crossref
1661	10.1002/ece3.1869	Crossref
1662	10.1038/nclimate2844	Crossref
1663	10.1073/pnas.1803543115	Crossref
1665	10.1038/ncomms14198	Crossref
1666	10.7185/geochemlet.1510	Crossref
1667	10.1038/ncomms4929	Crossref
1668	10.1029/2011gl050087	Crossref
1669	10.1111/fwb.12391	Crossref
1670	10.1093/icesjms/fss021	Crossref
1671	10.1139/cjfas-2012-0205	Crossref
1672	10.1175/JCLI-D-15-0366.1	Crossref
1673	10.1029/2017GL076717	Crossref
1674	10.1007/s10641-015-0453-x	Crossref
1675	10.1080/08865655.2017.1315605	Crossref
1676	10.5194/tc-8-1539-2014	Crossref
1677	10.1073/pnas.1409316111	Crossref
1678	10.1016/j.dsr2.2015.11.001	Crossref
1679	10.1093/icesjms/fsz043	Crossref
1680	10.1088/1748-9326/10/4/044010	Crossref
1681	10.1002/2016JC011687	Crossref
1682	10.1175/JCLI-D-14-00381.1	Crossref
1683	10.1371/journal.pone.0072246	Crossref
1684	10.1038/nature22995	Crossref
1685	10.1002/ecs2.1213	Crossref
1686	10.1371/journal.pone.0170132	Crossref
1687	10.1002/ecs2.1666	Crossref
1688	10.1038/s41467-018-07557-4	Crossref
1689	10.1002/2016JC012111	Crossref
1690	10.1175/JCLI-D-14-00367.1	Crossref
1691	10.1016/j.gloplacha.2016.06.008	Crossref
1692	10.1098/rstb.2013.0553	Crossref
1693	10.1017/S0022149X17000347	Crossref
1694	10.1016/j.quascirev.2013.12.001	Crossref
1695	10.1093/acprof:oso/9780199213887.003.0003	Crossref
1696	10.1038/ncomms14499	Crossref
1698	10.1007/s00382-012-1512-z	Crossref
1699	10.1126/sciadv.1700584	Crossref
1700	10.1002/2016GL072110	Crossref
1701	10.1002/2014JC010470	Crossref
1702	10.1126/science.1059322	Crossref
1703	10.1038/ngeo316	Crossref
1704	10.1002/2014GL060172	Crossref
1705	10.1175/JCLI-D-13-00301.1	Crossref
1706	10.1038/ngeo1627	Crossref
1707	10.1002/ehs2.1256	Crossref
1708	10.1093/icesjms/fsz031	Crossref
1709	10.1016/j.dsr2.2015.08.001	Crossref
1710	10.7901/2169-3358-2017.1.000172	Crossref
1711	10.1029/2008GL037079	Crossref
1713	10.1080/17451000.2013.775458	Crossref
1714	10.1038/nclimate1926	Crossref
1715	10.1038/s41558-018-0142-9	Crossref
1716	10.1038/s41467-018-05488-8	Crossref
1717	10.1130/G34654.1	Crossref
1718	10.1016/j.rse.2017.01.023	Crossref
1719	10.1007/s10584-018-2178-2	Crossref
1720	10.1002/ecs2.1931	Crossref
1721	10.1126/sciadv.1601191	Crossref
1722	10.1093/acprof:oso/9780199368747.003.0014	Crossref
1723	10.5194/tc-10-1463-2016	Crossref
1724	10.1002/jgrc.20265	Crossref
1725	10.3389/fmars.2015.00036	Crossref
1726	10.1890/150063	Crossref
1727	10.1029/2009JG001270	Crossref
1728	10.1175/JCLI-D-17-0125.1	Crossref
1729	10.1007/978-94-007-4713-5_19	Crossref
1730	10.1186/s12889-017-4393-6	Crossref
1731	10.5194/bg-11-6573-2014	Crossref
1732	10.1007/s10531-015-0896-6	Crossref
1733	10.1016/j.biocon.2014.01.038	Crossref
1734	10.1029/2011JF002083	Crossref
1735	10.1002/2013JC009156	Crossref
1736	10.1016/j.pocean.2016.10.004	Crossref
1737	10.3354/meps12383	Crossref
1738	10.1016/j.marpol.2014.07.027	Crossref
1739	10.1007/s10113-017-1221-6	Crossref
1740	10.3389/fmars.2017.00319	Crossref
1741	10.1080/02255189.2017.1391067	Crossref
1742	10.1038/nclimate3147	Crossref
1743	10.1038/s41467-018-05634-2	Crossref
1744	10.1016/j.dsr2.2015.04.002	Crossref
1745	10.1007/s10584-013-0883-4	Crossref
1746	10.1016/j.ocemod.2016.02.004	Crossref
1747	10.1038/s41558-018-0290-y	Crossref
1748	10.1080/17451000.2013.775450	Crossref
1749	10.1029/2019GL082015	Crossref
1750	10.1007/s12571-016-0594-6	Crossref
1751	10.1002/2016JC012403	Crossref
1752	10.1175/JPO-D-15-0144.1	Crossref
1753	10.1175/JCLI-D-16-0026.1	Crossref
1754	10.4337/9781784717681.00037	Crossref
1755	10.1017/S095410200400224X	Crossref
1756	10.1038/ngeo1188	Crossref
1757	10.1038/s41558-018-0127-8	Crossref
1758	10.1002/2016GL070067	Crossref
1759	10.1175/JCLI-D-11-00201.1	Crossref
1760	10.1002/2015GL066565	Crossref
1761	10.1038/s41559-017-0392-3	Crossref
1762	10.1002/eap.1384	Crossref
1763	10.1029/2018GL081482	Crossref
1764	10.1038/s41561-018-0207-4	Crossref
1765	10.1016/B978-0-12-407706-5.00002-2	Crossref
1766	10.1111/1365-2656.12827	Crossref
1767	10.1038/nclimate2280	Crossref
1768	10.1890/14-1834.1	Crossref
1769	10.1139/cjfas-2017-0077	Crossref
1770	10.1002/grl.50187	Crossref
1771	10.1002/hyp.10756	Crossref
1772	10.1002/2015JC011183	Crossref
1773	10.1890/1051-0761(2000)010[0423:TVDOSO]2.0.CO;2	Resource not found
1774	10.1007/s00300-016-1946-6	Crossref
1775	10.14430/arctic4447	Crossref
1776	10.1371/journal.pone.0029158	Crossref
1777	10.1017/S0032247416000565	Crossref
1778	10.1139/X09-068	Crossref
1779	10.1139/X10-061	Crossref
1780	10.1007/s10980-011-9574-6	Crossref
1781	10.1038/s41598-018-27705-6	Crossref
1782	10.1657/1938-4246-41.3.309	Crossref
1783	10.1029/2011JG001666	Crossref
1784	10.1038/srep15865	Crossref
1786	10.1038/ncomms9910	Crossref
1787	10.1126/science.1249055	Crossref
1788	10.1002/2016JC012509	Crossref
1789	10.1016/j.rse.2016.01.001	Crossref
1790	10.1175/BAMS-D-15-00121.1	Crossref
1791	10.3354/meps11174	Crossref
1792	10.1093/icesjms/fsx248	Crossref
1793	10.1186/s13071-018-2946-x	Crossref
1794	10.1111/j.1365-2486.2010.02312.x	Crossref
1795	10.1098/rsbl.2016.0223	Crossref
1796	10.1016/j.marpol.2015.03.033	Crossref
1797	10.1080/15022250.2014.886097	Crossref
1798	10.1016/j.rse.2016.03.009	Crossref
1799	10.1016/j.coldregions.2012.08.002	Crossref
1801	10.1038/nclimate1884	Crossref
1802	10.1175/JCLI-D-15-0238.1	Crossref
1803	10.14430/arctic113	Crossref
1804	10.1029/2006GL025677	Crossref
1805	10.1073/pnas.1115521109	Crossref
1806	10.1002/2016JC012514	Crossref
1807	10.3354/meps11189	Crossref
1808	10.1038/nclimate1937	Crossref
1809	10.1111/j.1365-2400.2009.00686.x	Crossref
1810	10.1029/2011GL048008	Crossref
1811	10.1073/pnas.1305069110	Crossref
1812	10.1038/512023a	Crossref
1813	10.1017/S0954102014000674	Crossref
1814	10.1038/s41598-019-43826-y	Crossref
1815	10.3390/rs8060450	Crossref
1816	10.5194/esd-7-295-2016	Crossref
1817	10.1088/0034-4885/78/4/046801	Crossref
1818	10.1007/s10584-013-0705-8	Crossref
1819	10.1038/ncomms13243	Crossref
1820	10.1038/ncomms3857	Crossref
1821	10.1016/j.coldregions.2018.02.010	Crossref
1822	10.1029/2011GL048056	Crossref
1823	10.1038/srep40051	Crossref
1824	10.1038/ncomms5646	Crossref
1825	10.1098/rsta.2017.0174	Crossref
1826	10.1111/fog.12241	Crossref
1827	10.1002/2017JC012926	Crossref
1828	10.5194/tc-12-3813-2018	Crossref
1829	10.1038/s41586-018-0208-x	Crossref
1830	10.1038/nature10581	Crossref
1831	10.1016/j.fishres.2015.03.023	Crossref
1832	10.1007/s10113-016-1059-3	Crossref
1833	10.1038/nature16183	Crossref
1834	10.1073/pnas.1316342111	Crossref
1835	10.1002/jwmg.1070	Crossref
1836	10.1371/journal.pone.0191011	Crossref
1837	10.1088/1748-9326/aad824	Crossref
1838	10.7557/2.32.1.2234	Crossref
1839	10.5194/bg-9-509-2012	Crossref
1840	10.1017/S0032247414000436	Crossref
1841	10.1002/2013GL058083	Crossref
1842	10.1007/s00382-013-1821-x	Crossref
1843	10.1111/gcb.13848	Crossref
1844	10.1002/lno.10351	Crossref
1845	10.1038/s41598-017-05783-2	Crossref
1846	10.1007/978-94-007-4713-5_15	Crossref
1847	10.1017/aju.2018.44	Crossref
1848	10.1002/jgrf.20063	Crossref
1849	10.1130/G38626.1	Crossref
1851	10.3354/meps12365	Crossref
1852	10.15356/2076-6734-2012-1-38-53	Crossref
1853	10.1002/2016GL070733	Crossref
1854	10.1038/s41561-018-0082-z	Crossref
1855	10.1017/S0954102016000559	Crossref
1856	10.1073/pnas.1207509109	Crossref
1857	10.1098/rspb.2015.1546	Crossref
1858	10.1139/er-2015-0041	Crossref
1859	10.1111/j.1748-7692.2011.00479.x	Crossref
1860	10.1038/ngeo1801	Crossref
1861	10.1175/JCLI-D-12-00228.1	Crossref
1862	10.1073/pnas.1103910108	Crossref
1863	10.1098/rsta.2014.0423	Crossref
1864	10.1017/CBO9780511994784	Crossref
1865	10.1175/JCLI-D-12-00832.1	Crossref
1866	10.1126/sciadv.1501938	Crossref
1867	10.1175/JCLI-D-15-0654.1	Crossref
1868	10.1002/2013JC008999	Crossref
1869	10.1111/ecog.02590	Crossref
1870	10.1038/s41598-019-41456-y	Crossref
1871	10.5194/tc-10-523-2016	Crossref
1872	10.1038/ngeo2517	Crossref
1873	10.1007/978-94-007-4713-5_18	Crossref
1874	10.1007/s10113-013-0508-5	Crossref
1875	10.1029/2011GL049216	Crossref
1876	10.1088/1748-9326/aad624	Crossref
1877	10.1016/j.gloplacha.2017.09.012	Crossref
1878	10.1111/gcb.12315	Crossref
1879	10.1016/j.ijppaw.2014.01.002	Crossref
1880	10.1111/gcb.14419	Crossref
1881	10.1038/s41558-017-0054-0	Crossref
1882	10.1088/1748-9326/aae3ec	Crossref
1883	10.1002/2014JC009943	Crossref
1884	10.1002/jgrc.20191	Crossref
1885	10.1029/2018GL077346	Crossref
1886	10.3920/978-90-8686-840-7_5	Crossref
1887	10.14430/arctic134	Crossref
1888	10.1002/9781119950172.ch14	Crossref
1889	10.1007/s10584-006-9064-z	Crossref
1890	10.1007/978-90-481-8587-0_3	Crossref
1891	10.1002/ece3.3809	Crossref
1892	10.1098/rsbl.2016.0457	Crossref
1893	10.1111/cobi.12474	Crossref
1894	10.1007/s00382-014-2087-7	Crossref
1895	10.1002/2013GB004735	Crossref
1896	10.1111/faf.12106	Crossref
1897	10.1029/2006JG000370	Crossref
1898	10.1111/fog.12085	Crossref
1899	10.1002/2017GL075618	Crossref
1900	10.1002/2014GB004853	Crossref
1901	10.1038/s41558-017-0057-x	Crossref
1902	10.1126/science.aab2620	Crossref
1903	10.1111/gcb.13742	Crossref
1904	10.1038/s41598-017-17292-3	Crossref
1905	10.1016/j.geomorph.2006.07.040	Crossref
1906	10.1002/2014JG002744	Crossref
1907	10.1038/s41598-018-20692-8	Crossref
1908	10.1371/journal.pone.0060568	Crossref
1909	10.1111/fwb.12769	Crossref
1910	10.1016/j.jtrangeo.2011.08.006	Crossref
1911	10.1017/S0032247413000508	Crossref
1912	10.1093/icesjms/fsx028	Crossref
1913	10.1017/S0032247413000284	Crossref
1915	10.1088/1748-9326/10/9/094011	Crossref
1916	10.1175/JCLI-D-11-00103.1	Crossref
1917	10.1002/grl.50193	Crossref
1918	10.1038/ngeo1977	Crossref
1919	10.1002/2015JC010700	Crossref
1921	10.1126/science.1136188	Crossref
1922	10.1073/pnas.1616287114	Crossref
1923	10.1038/nature22996	Crossref
1924	10.1002/2017GL074646	Crossref
1925	10.1002/ppp.716	Crossref
1926	10.1080/13683500903406367	Crossref
1927	10.1007/s00267-015-0622-x	Crossref
1928	10.1088/1748-9326/6/4/044009	Crossref
1929	10.5194/bg-12-5715-2015	Crossref
1930	10.1021/acs.est.7b06463	Crossref
1931	10.1175/JCLI-D-12-00492.1	Crossref
1932	10.1175/JCLI-D-15-0572.1	Crossref
1933	10.1038/nature12945	Crossref
1934	10.1175/JCLI-D-15-0113.1	Crossref
1935	10.1002/2015GL065701	Crossref
1936	10.1002/2016JD024774	Crossref
1937	10.1017/S0032247417000390	Crossref
1938	10.1038/ngeo2674	Crossref
1939	10.2172/1350972	Crossref
1940	10.1002/2013JD021186	Crossref
1941	10.1038/s41558-018-0205-y	Crossref
1943	10.5194/tc-9-269-2015	Crossref
1944	10.1175/JCLI-D-13-00014.1	Crossref
1945	10.1016/j.tranpol.2015.09.002	Crossref
1946	10.1371/journal.pone.0074077	Crossref
1947	10.1098/rsta.2014.0303	Crossref
1948	10.1002/2015JG003120	Crossref
1949	10.1007/s00300-016-2044-5	Crossref
1950	10.1175/JCLI-D-11-00081.1	Crossref
1951	10.1016/j.gloplacha.2004.12.007	Crossref
1952	10.1073/pnas.1219716110	Crossref
1953	10.1088/1748-9326/10/5/054017	Crossref
1954	10.1016/j.envsoft.2007.10.007	Crossref
1955	10.1002/2014JD022531	Crossref
1956	10.1007/s10584-014-1234-9	Crossref
1957	10.1088/1748-9326/9/11/111006	Crossref
1958	10.1016/j.pocean.2015.01.002	Crossref
1959	10.1016/j.dsr2.2017.04.012	Crossref
1960	10.1177/0959683614538073	Crossref
1961	10.1038/s41598-018-27947-4	Crossref
1962	10.1093/icesjms/fsz090	Crossref
1963	10.1016/j.jembe.2014.12.011	Crossref
1964	10.1093/icesjms/fsw197	Crossref
1965	10.1111/gcb.12391	Crossref
1966	10.1080/23308249.2017.1335284	Crossref
1967	10.5304/jafscd.2013.033.006	Crossref
1968	10.1007/s10745-015-9800-y	Crossref
1969	10.1007/s00300-017-2122-3	Crossref
1970	10.1038/ncomms9566	Crossref
1971	10.1017/S0954102014000339	Crossref
1972	10.1007/s00382-018-4579-3	Crossref
1973	10.1111/j.1365-2486.2009.02104.x	Crossref
1974	10.1890/15-1256	Crossref
1975	10.1016/j.jmarsys.2013.09.006	Crossref
1976	10.1080/17518369.2017.1374124	Crossref
1977	10.1890/13-1108.1	Crossref
1978	10.1080/14888386.2012.706198	Crossref
1979	10.1371/journal.pone.0091188	Crossref
1980	10.3189/2013AoG63A256	Crossref
1981	10.1029/2018GL079147	Crossref
1982	10.1038/ngeo1573	Crossref
